关节1                关节2            关节3             关节4            关节5             关节6            合角速度
0.000245115 0.000191542 -0.000200728 -0.000393518 0.000439134 0.000228219 -9.25596e+061 

0.000289119 -0.220177 0.219947 -0.000395057 0.000610354 0.00027479 7.47586 

0.000333538 -0.440549 0.439314 -0.000396574 0.00156482 0.000319379 7.46272 

0.000378243 -0.660943 0.65791 -0.000398081 0.00331257 0.000361836 7.45014 

0.000423225 -0.881346 0.875727 -0.000399535 0.00584889 0.000402154 7.43727 

0.000468635 -1.10176 1.09277 -0.000400971 0.00916869 0.000440512 7.42466 

0.000514192 -1.3222 1.30906 -0.000402344 0.0132774 0.0004766 7.41251 

0.000559907 -1.54268 1.52458 -0.000403707 0.0181755 0.000510448 7.40072 

0.000606192 -1.76317 1.73934 -0.000405012 0.0238626 0.00054244 7.38838 

0.000652634 -1.98369 1.95332 -0.000406309 0.0303494 0.000572154 7.37622 

0.000699233 -2.20425 2.16656 -0.000407545 0.0376162 0.000599632 7.36493 

0.000746422 -2.42485 2.37905 -0.000408778 0.0456735 0.000625293 7.35364 

0.00079363 -2.64548 2.59078 -0.000409962 0.0545265 0.000648534 7.34208 

0.000841287 -2.86615 2.80176 -0.000411107 0.0641705 0.000669813 7.33094 

0.000889403 -3.08687 3.012 -0.000412252 0.0746012 0.00068914 7.32006 

0.000937688 -3.30764 3.22149 -0.000413342 0.0858292 0.000706206 7.30936 

0.000986294 -3.52846 3.43024 -0.000414432 0.0978496 0.000721172 7.29855 

0.00103522 -3.74932 3.63824 -0.000415472 0.110658 0.000734041 7.28797 

0.00108447 -3.97025 3.84552 -0.000416516 0.12426 0.000744819 7.27802 

0.0011339 -4.19124 4.05206 -0.000417511 0.138662 0.000753324 7.2678 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 7.25764 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 -9.25596e+061 

0.00113244 -4.19124 4.05206 -0.0004187 0.138661 0.000754952 7.25759 

0.00108141 -3.97026 3.84553 -0.000418838 0.12426 0.000747925 7.26758 

0.00103072 -3.74932 3.63824 -0.000418983 0.110657 0.000738795 7.27815 

0.000980365 -3.52845 3.43023 -0.000419105 0.0978482 0.000727575 7.28811 

0.000930339 -3.30764 3.22149 -0.000419203 0.0858276 0.000714277 7.2985 

0.000880641 -3.08687 3.012 -0.000419275 0.0745997 0.000698884 7.30913 

0.000831265 -2.86615 2.80175 -0.000419321 0.0641685 0.00068138 7.32019 

